transcript,confidence,languageCode,channelTag,Participant,Trial,preciseStartTime,preciseEndTime,Picture_Identity,Picture_Label,Task_Side,Response_Time_in_PsychoPy,Response_Finish_in_PsychoPy,Stim_Onset,Block,Stim_Offset_Fix_Onset,Fix_Offset,Task,Picture_Number,First_Congruency,FrameRate,V17,Synonyms,Congruency,End_recording,Block_Bias,Task_Side_Bias
egg,0.94889677,en-us,NA,1,203,1.05,1.235,egg,skirt,7,1.0177189,0,831.494795,4,833.5908769,831.4891431,Predictive Locations,obj144,Even_Split,59.95818516,NA,"egg holder, holder, egg, skirt",Incongruent,834.3413431,NA,Congruent
baby,0.98762906,en-us,NA,1,204,1.24,1.61,baby,canoe,-7,1.2605302,0,834.346949,4,836.4431268,834.3413431,Predictive Locations,obj017,Even_Split,59.95818516,NA,"infant, baby, canoe",Incongruent,837.6939477,NA,Incongruent
comb,0.73396945,en-us,NA,1,205,0.965,1.175,comb,comb,7,0.8935266,1.2488083,837.6996397,4,839.795708,837.6939477,Predictive Locations,obj106,Even_Split,59.95818516,NA,"brush, comb",Congruent,840.546144,NA,Congruent
yoyo,0.94627696,en-us,NA,1,206,1.595,2.045,yoyo,yoyo,7,1.6138861,0,840.5517294,4,842.7813349,840.546144,Predictive Locations,obj518,Even_Split,59.95818516,NA,"string, toy, yoyo",Congruent,845.8502365,NA,Congruent
rolling pin,0.9440816,en-us,NA,1,207,1.4,1.98,rollingpin,rollingpin,7,1.4151981,0,845.8561486,4,847.9519965,845.8502365,Predictive Locations,obj362,Even_Split,59.95818516,NA,"roller, pin, rollingpin",Congruent,850.603908,NA,Congruent
flag,0.98762906,en-us,NA,1,208,1.125,1.395,flag,flag,7,1.1421663,0,850.609748,4,852.7056557,850.603908,Predictive Locations,obj159,Even_Split,59.95818516,NA,"flag, pennant, banner, flag",Congruent,853.4560992,NA,Congruent
pelican,0.99220014,en-us,NA,1,209,1.32,1.785,pelican,pelican,7,1.2911477,0,853.4617741,4,855.5578801,853.4560992,Predictive Locations,obj309,Even_Split,59.95818516,NA,"seagull, bird, crane, stork, toucan, egret, pelican",Congruent,857.0088457,NA,Congruent
bone,0.92064154,en-us,NA,1,210,1.235,1.59,bone,tie,-7,1.2309594,0,857.0145458,4,859.1106237,857.0088457,Predictive Locations,obj050,Even_Split,59.95818516,NA," bone, tie",Incongruent,860.66166,NA,Incongruent
curtains,0.98762906,en-us,NA,1,211,1.52,1.895,curtains,curtains,7,1.4636275,0,860.6673603,4,862.7634177,860.66166,Predictive Locations,obj120,Even_Split,59.95818516,NA,"blinds, drapes, shades, shutters, window, curtains",Congruent,864.4145509,NA,Congruent
scissors,0.98762906,en-us,NA,1,212,1.2,1.545,scissors,gorilla,-7,1.2220181,0,864.4203077,4,866.5163072,864.4145509,Predictive Locations,obj380,Even_Split,59.95818516,NA,"scissor, clippers, trimmers, scissors, gorilla",Incongruent,867.4669039,NA,Incongruent
envelope,0.98762906,en-us,NA,1,213,1.49,1.995,envelope,barbecue,7,1.5005809,0,867.4725448,4,869.6186928,867.4669039,Predictive Locations,obj146,Even_Split,59.95818516,NA,"mail, letter, envelope, barbecue",Incongruent,872.2705746,NA,Congruent
turtle,0.98775566,en-us,NA,1,214,0.85,1.15,turtle,turtle,7,0.7798643,1.2217175,872.2764273,4,874.37235,872.2705746,Predictive Locations,obj476,Even_Split,59.95818516,NA,"tortoise, terrapin, turtle",Congruent,875.1228144,NA,Congruent
camera,0.98762906,en-us,NA,1,215,1.14,1.53,camera,bottle,-7,1.0762814,0,875.128527,4,877.2245601,875.1228144,Predictive Locations,obj073,Even_Split,59.95818516,NA,"digital camera, lens, camera, bottle",Incongruent,877.9750075,NA,Incongruent
trumpet,0.98762906,en-us,NA,1,216,1.785,2.13,trumpet,dolphin,-7,1.7266933,0,877.9806266,4,880.3436188,877.9750075,Predictive Locations,obj473,Even_Split,59.95818516,NA,"instrument, music, musical instrument, cornet, trombone, horn, clarinet, trumpet, dolphin",Incongruent,882.0948572,NA,Incongruent
monkey,0.98762906,en-us,NA,1,217,1.15,1.71,monkey,spaghetti,7,1.1670162,0,882.100608,4,884.1965966,882.0948572,Predictive Locations,obj266,Even_Split,59.95818516,NA,"ape, baboon, chimpanzee, gorilla, lemur, orangutan, baby monkey, monkey, spaghetti",Incongruent,885.347367,NA,Congruent
NA,NA,NA,NA,1,218,NA,NA,spoon,spoon,7,1.0260892,1.0461808,885.3532028,4,887.4491151,885.347367,Predictive Locations,obj418,Even_Split,59.95818516,NA,"utensil, spoon",Congruent,888.1995546,NA,Congruent
violin,0.98762906,en-us,NA,1,219,1.02,1.56,violin,violin,-7,1.0389699,0,888.2051155,4,890.3186125,888.1995546,Predictive Locations,obj485,Even_Split,59.95818516,NA,"instrument, music, musical instrument, guitar, fiddle, viola, cello, violin",Congruent,891.3686899,NA,Incongruent
Bridge,0.9741601,en-us,NA,1,220,1.44,1.81,bridge,bridge,7,1.4365635,0,891.3745887,4,893.4704117,891.3686899,Predictive Locations,obj062,Even_Split,59.95818516,NA,"Golden Gate Bridge, overpass, bridge",Congruent,895.1215726,NA,Congruent
cup,0.98762906,en-us,NA,1,221,2.015,2.2,trophy,motorcycle,-7,1.534259,0,895.1272841,4,897.3067169,895.1215726,Predictive Locations,obj471,Even_Split,59.95818516,NA,"award, cup, trophy, motorcycle",Incongruent,898.1572373,NA,Incongruent
stove,0.9833367,en-us,NA,1,222,1.33,1.57,washingmachine,frog,-7,1.3116132,0,898.1628901,4,900.2589999,898.1572373,Predictive Locations,obj495,Even_Split,59.95818516,NA,"laundry, laundry machine, washer, wash, laundromat, dryer, drying machine, stove, washingmachine, frog",Incongruent,901.3097005,NA,Incongruent
fire hydrant,0.98019475,en-us,NA,1,223,1.38,1.74,firehydrant,firehydrant,7,1.3688546,0,901.3155125,4,903.4114116,901.3097005,Predictive Locations,obj214,Even_Split,59.95818516,NA,"hydrant, firehydrant",Congruent,904.7623494,NA,Congruent
hamburger,0.9938145,en-us,NA,1,224,1.305,1.865,hamburger,hamburger,7,1.257112,0,904.7681674,4,906.8641066,904.7623494,Predictive Locations,obj192,Even_Split,59.95818516,NA,"patty, hamburger",Congruent,908.014834,NA,Congruent
pen,0.95199955,en-us,NA,1,225,1.37,1.64,pen,table,-7,1.3528267,0,908.020543,4,910.1165992,908.014834,Predictive Locations,obj310,Even_Split,59.95818516,NA,"ballpoint pen, writing utensil, pencil, writing instrument, fountain pen, quill, pen, table",Incongruent,911.2673864,NA,Incongruent
donkey,0.98384726,en-us,NA,1,226,1.43,1.88,donkey,cane,-7,1.4323658,0,911.2730554,4,913.3690835,911.2673864,Predictive Locations,obj131,Even_Split,59.95818516,NA,"horse, mule, pony, donkey, cane",Incongruent,915.22083,NA,Incongruent
cup,0.98762906,en-us,NA,1,227,0.755,0.95,cup,cup,7,0.7711733,1.0950651,915.2265462,4,917.3221311,915.22083,Predictive Locations,obj119,Even_Split,59.95818516,NA,"mug, drink, cup",Congruent,918.0726188,NA,Congruent
vase,0.9243697,en-us,NA,1,228,1.115,1.23,vase,vase,-7,1.1328506,0,918.0786912,4,920.1743633,918.0726188,Predictive Locations,obj483,Even_Split,59.95818516,NA,"jar, pot, urn, container, flowerpot, jug, vaz, vase",Congruent,920.9247884,NA,Incongruent
wood,0.97462624,en-us,NA,1,229,1.815,1.98,log,skeleton,-7,1.8360532,0,920.9388074,4,923.3934741,920.9247884,Predictive Locations,obj253,Even_Split,59.95818516,NA,"wood, timber, chunk, log, skeleton",Incongruent,925.1613921,NA,Incongruent
statue,0.9814255,en-us,NA,1,230,1.19,1.69,statue,statue,7,1.1751528,0,925.1672337,4,927.2631468,925.1613921,Predictive Locations,obj421,Even_Split,59.95818516,NA,"sculpture, mold, bust, marble, statue",Congruent,928.3138185,NA,Congruent
Steam,0.9789059,en-us,NA,1,231,2.11,2.355,smoke,pillow,-7,2.0984456,0,928.3195131,4,931.0327192,928.3138185,Predictive Locations,obj407,Even_Split,59.95818516,NA,"chimney, stack, vent, furnace, chimney stack, smoke shaft, exhaust, pollution, soot, steam, vapor, smoke, pillow",Incongruent,933.0841683,NA,Incongruent
mosquito,0.9811809,en-us,NA,1,232,1.08,1.675,mosquito,mosquito,-7,1.0969238,0,933.0900593,4,935.1859102,933.0841683,Predictive Locations,obj270,Even_Split,59.95818516,NA,"bug, insect, fly, pest, flea, dragonfly, mosquito",Congruent,936.5368142,NA,Incongruent
blimp,0.8534944,en-us,NA,1,233,1.615,1.825,blimp,blimp,-7,1.6201261,0,936.5425294,4,938.7886966,936.5368142,Predictive Locations,obj046,Even_Split,59.95818516,NA,"airship, hot air balloon, blimp",Congruent,940.6399918,NA,Incongruent
bed,0.97132045,en-us,NA,1,234,1.23,1.46,bed,firetruck,-7,1.2441924,0,940.6457929,4,942.7417381,940.6399918,Predictive Locations,obj037,Even_Split,59.95818516,NA," bed, firetruck",Incongruent,943.5922617,NA,Incongruent
moose,0.87880284,en-us,NA,1,235,0.995,1.335,moose,moose,7,0.9875952,1.3985089,943.5979319,4,945.6940059,943.5922617,Predictive Locations,obj268,Even_Split,59.95818516,NA,"elk, deer, moose",Congruent,946.4444669,NA,Congruent
radio,0.98762906,en-us,NA,1,236,1.455,1.875,radio,sink,-7,1.4685402,0,946.4500765,4,948.5629054,946.4444669,Predictive Locations,obj345,Even_Split,59.95818516,NA,"alarm clock, cable, box, cassette, tape, stereo, radio, sink",Incongruent,951.3148686,NA,Incongruent
NA,NA,NA,NA,1,237,NA,NA,key,key,7,1.0137709,1.2137351,951.3207319,4,953.4166807,951.3148686,Predictive Locations,obj225,Even_Split,59.95818516,NA, key,Congruent,954.1670977,NA,Congruent
Sun,0.9847302,en-us,NA,1,238,1.245,1.385,sun,volcano,-7,1.2618512,0,954.1727778,4,956.28549,954.1670977,Predictive Locations,obj431,Even_Split,59.95818516,NA,"sunshine, light, daylight, sun, volcano",Incongruent,957.0359614,NA,Incongruent
sword,0.98762906,en-us,NA,1,239,1.21,1.385,sword,sword,7,1.230007,0,957.0415918,4,959.1377471,957.0359614,Predictive Locations,obj435,Even_Split,59.95818516,NA,"weapon, foil, saber, spear, blade, dagger, sword",Congruent,959.8881417,NA,Congruent
door,0.97805786,en-us,NA,1,240,0.98,1.32,door,door,-7,0.6766617,0.7850458,959.8937832,4,961.9899137,959.8881417,Predictive Locations,obj132,Even_Split,59.95818516,NA, door,Congruent,962.7403659,NA,Incongruent
King,0.98117566,en-us,NA,1,241,1.065,1.295,king,teapot,-7,0.9888753,1.4334175,962.7459055,4,964.8588054,962.7403659,Predictive Locations,obj226,Even_Split,59.95818516,NA,"regal, crown, throne, emperor, monarch, king, teapot",Incongruent,965.6092442,NA,Incongruent
cake,0.9849747,en-us,NA,1,242,1.205,1.37,cake,needle,7,1.1071836,1.3954848,965.6148751,4,967.7109969,965.6092442,Predictive Locations,obj071,Even_Split,59.95818516,NA,"bite, bitten, wedding cake, dessert, eaten, cake, needle",Incongruent,968.4614464,NA,Congruent
anchor,0.9938145,en-us,NA,1,243,1.15,1.59,anchor,anchor,7,1.198163,0,968.4670963,4,970.5798311,968.4614464,Predictive Locations,obj005,Even_Split,59.95818516,NA,"ship, boat, anchor",Congruent,971.3303231,NA,Congruent
tiger,0.9154168,en-us,NA,1,244,0.995,1.425,tiger,tiger,7,0.892724,0,971.3359559,4,973.4320704,971.3303231,Predictive Locations,obj454,Even_Split,59.95818516,NA,"leopard, lion, cheetah, panther, cat, big cat, tiger",Congruent,974.1824983,NA,Congruent
heel,0.9248662,en-us,NA,1,245,1.495,1.735,heel,safetypin,7,1.4445225,0,974.1880947,4,976.2871145,974.1824983,Predictive Locations,obj202,Even_Split,59.95818516,NA,"shoe, high heels, heels, wedge, wedges, platform, dress shoe, foot, heel, safetypin",Incongruent,978.2356415,NA,Congruent
rhinoceros,0.98341155,en-us,NA,1,246,1.315,1.625,rhinoceros,rhinoceros,7,1.2373162,0,978.2413721,4,980.3373971,978.2356415,Predictive Locations,obj353,Even_Split,59.95818516,NA,"rhino, hippo, hippopotamus, rhinoceros",Congruent,981.788384,NA,Congruent
toe,0.9594413,en-us,NA,1,247,1.065,1.435,toe,toe,-7,1.1100152,0,981.7940757,4,983.8901558,981.788384,Predictive Locations,obj457,Even_Split,59.95818516,NA,"big toe, toenail, thumb toe, finger, hand, foot, toe",Congruent,984.640532,NA,Incongruent
NA,NA,NA,NA,1,248,NA,NA,house,house,-7,1.0773379,1.4025409,984.6461398,4,986.7423494,984.640532,Predictive Locations,obj213,Even_Split,59.95818516,NA,"home, building, residence, house",Congruent,987.4927626,NA,Incongruent
wheelchair,0.97965914,en-us,NA,1,249,1.175,1.275,wheelchair,helmet,7,1.2005221,0,987.4983663,4,989.5945321,987.4927626,Predictive Locations,obj505,Even_Split,59.95818516,NA,"scooter, wheelchair, helmet",Incongruent,990.3449829,NA,Congruent
waiter,0.98762906,en-us,NA,1,250,1.48,1.97,waiter,finger,-7,1.5869043,0,990.3506461,4,992.5634898,990.3449829,Predictive Locations,obj489,Even_Split,59.95818516,NA,"server, attendant, steward, waitress, waiter, finger",Incongruent,995.2154088,NA,Incongruent
seal,0.9722539,en-us,NA,1,251,0.945,1.395,seal,seal,7,1.1427667,0,995.2212166,4,997.3338615,995.2154088,Predictive Locations,obj385,Even_Split,59.95818516,NA,"sea lion, otter, walrus, manatee, seal",Congruent,998.0842979,NA,Congruent
Bowl,0.89324224,en-us,NA,1,252,1.085,1.315,bowl,hammer,-7,1.1082761,0,998.0899132,4,1000.186036,998.0842979,Predictive Locations,obj054,Even_Split,59.95818516,NA,"cup, dish, bowl, hammer",Incongruent,1000.936479,NA,Incongruent
talk,0.78053606,en-us,NA,1,253,1.005,1.345,sock,bird,7,1.1676221,1.3683689,1000.942124,4,1003.038251,1000.936479,Predictive Locations,obj411,Even_Split,59.95818516,NA," sock, bird",Incongruent,1003.788689,NA,Congruent
wing,0.96683276,en-us,NA,1,254,1.235,1.485,wing,lobster,-7,1.2660781,0,1003.794408,4,1005.890439,1003.788689,Predictive Locations,obj512,Even_Split,59.95818516,NA,"bird, feather, wing, lobster",Incongruent,1006.640883,NA,Incongruent
ball,0.90706044,en-us,NA,1,255,1.27,1.56,ball,mailbox,7,1.3181714,0,1006.646532,4,1008.742658,1006.640883,Predictive Locations,obj024,Even_Split,59.95818516,NA,"rattle, ball, mailbox",Incongruent,1009.593151,NA,Congruent
giraffe,0.9520855,en-us,NA,1,256,1.425,1.58,giraffe,giraffe,-7,1.399622,0,1009.598936,4,1011.694896,1009.593151,Predictive Locations,obj178,Even_Split,59.95818516,NA, giraffe,Congruent,1012.745587,NA,Incongruent
magnet,0.976972,en-us,NA,1,257,1.225,1.47,magnet,corn,-7,1.2236146,0,1012.751269,4,1014.847339,1012.745587,Predictive Locations,obj254,Even_Split,59.95818516,NA,"magnetic pull, magnet, corn",Incongruent,1015.697863,NA,Incongruent
ladder,0.9938145,en-us,NA,1,258,2.565,2.985,ladder,camel,-7,1.1733816,0,1015.703543,4,1017.799606,1015.697863,Predictive Locations,obj231,Even_Split,59.95818516,NA," ladder, camel",Incongruent,1023.353755,NA,Incongruent
strawberry,0.98062587,en-us,NA,1,259,1.29,1.43,strawberry,doll,-7,1.0392471,0,1023.360158,4,1025.455608,1023.353755,Predictive Locations,obj427,Even_Split,59.95818516,NA,"berry, fruit, seeds, strawberry, doll",Incongruent,1026.205946,NA,Incongruent
mushroom,0.98762906,en-us,NA,1,260,1.1,1.585,mushroom,balcony,7,1.1300615,0,1026.211505,4,1028.307702,1026.205946,Predictive Locations,obj275,Even_Split,59.95818516,NA," mushroom, balcony",Incongruent,1029.358393,NA,Congruent
NA,NA,NA,NA,1,261,NA,NA,mouse,road,-7,1.1455049,0,1029.36406,4,1031.46013,1029.358393,Predictive Locations,obj273,Even_Split,59.95818516,NA,"rat, hamster, mole, mouse, road",Incongruent,1032.210629,NA,Incongruent
NA,NA,NA,NA,1,262,NA,NA,microphone,microphone,-7,NA,NA,1032.216269,4,1035.813518,1032.210629,Predictive Locations,obj261,Even_Split,59.95818516,NA, microphone,Congruent,1036.56393,NA,Incongruent
heart,0.96612597,en-us,NA,1,263,1.255,1.415,heart,heart,7,1.2181256,0,1036.56982,4,1038.666565,1036.56393,Predictive Locations,obj201,Even_Split,59.95818516,NA,"love, valentine, love heart, heart",Congruent,1039.416152,NA,Congruent
telephone,0.98762906,en-us,NA,1,264,1.19,1.8,telephone,telephone,7,1.2293707,0,1039.421833,4,1041.534562,1039.416152,Predictive Locations,obj445,Even_Split,59.95818516,NA,"phone, home phone, house phone, rotary, rotary phone, old phone, dial, call, landline, telephone",Congruent,1097.421833,NA,Congruent
pool,0.9834721,en-us,NA,2,1,NA,NA,pool,nftmt,0,1.1287858,0,84.1841743,1,86.2814794,75.906635,Neutral,obj331,NA,59.95131952,NA," pool, nftmt",Incongruent,87.432215,NA,NA
turtle,0.98762906,en-us,NA,2,2,0.855,1.32,turtle,pqqkp,0,0.832281,1.3895948,87.4378573,1,89.5506357,87.432215,Neutral,obj476,NA,59.95131952,NA,"tortoise, terrapin, turtle, pqqkp",Incongruent,90.3010999,NA,NA
eye,0.87383175,en-us,NA,2,3,0.835,1.225,eye,gbwvg,0,0.8148961,1.4063772,90.3066598,1,92.4028667,90.3010999,Neutral,obj148,NA,59.95131952,NA,"eyeball, pupil, iris, eyelash, eyelashes, vision, eye, gbwvg",Incongruent,93.1532892,NA,NA
lawnmower,0.9938145,en-us,NA,2,4,1.395,2.1,lawnmower,hwkts,0,1.3778861,0,93.1588657,1,95.2550888,93.1532892,Neutral,obj235,NA,59.95131952,NA,"mower, cutter, trimmer, lawnmower, hwkts",Incongruent,113.7191385,NA,NA
acorn,0.98762906,en-us,NA,2,5,1.375,1.875,acorn,nkkwc,0,1.3320332,0,113.7264406,1,115.82095,113.7191385,Neutral,obj002,NA,59.95131952,NA," acorn, nkkwc",Incongruent,124.6775617,NA,NA
girl,0.9794437,en-us,NA,2,6,1.35,1.715,girl,vhfmt,0,1.3163929,0,124.6840583,1,126.7793701,124.6775617,Neutral,obj179,NA,59.95131952,NA,"child, kid, youngster, youth, daughter, minor, girl, vhfmt",Incongruent,129.5313342,NA,NA
jar,0.9752097,en-us,NA,2,7,1.17,1.53,jar,qxvrn,0,1.1115645,0,129.5372892,1,131.6331203,129.5313342,Neutral,obj221,NA,59.95131952,NA,"jug, vase, vessel, bottle, jar, qxvrn",Incongruent,132.9005995,NA,NA
crackers,0.9755956,en-us,NA,2,8,1.825,1.985,crackers,qjqpd,0,1.1679734,1.215695,132.906448,1,135.002381,132.9005995,Neutral,obj114,NA,59.95131952,NA,"saltine, saltines, cookie, cookies, graham cracker, graham crackers, crackers, qjqpd",Incongruent,138.3548006,NA,NA
fish,0.9938145,en-us,NA,2,9,1.065,1.24,fish,bvctc,0,0.8979062,0,138.3606402,1,140.4566119,138.3548006,Neutral,obj157,NA,59.95131952,NA," fish, bvctc",Incongruent,141.2069974,NA,NA
mail,0.9733108,en-us,NA,2,10,1.525,1.99,letter,mbdtk,0,1.4715544,0,141.2126685,1,143.3087988,141.2069974,Neutral,obj240,NA,59.95131952,NA,"mail, note, message, letter, mbdtk",Incongruent,147.0781864,NA,NA
fedora,0.98762906,en-us,NA,2,11,1.735,2.195,hat,ddfsv,0,1.4666771,0,147.0841655,1,149.1822924,147.0781864,Neutral,obj199,NA,59.95131952,NA,"fedora, hat, ddfsv",Incongruent,153.6332417,NA,NA
truck,0.98762906,en-us,NA,2,12,1.33,1.66,truck,bhqqn,0,1.3509285,0,153.6392986,1,155.7350195,153.6332417,Neutral,obj472,NA,59.95131952,NA,"cargo, truck, bhqqn",Incongruent,157.486212,NA,NA
Apple,0.97332084,en-us,NA,2,13,1.155,1.575,apple,gkgdc,0,1.1333836,0,157.4919105,1,159.5879924,157.486212,Neutral,obj009,NA,59.95131952,NA,"fruit, apple, gkgdc",Incongruent,160.9388747,NA,NA
parrot,0.98762906,en-us,NA,2,14,1.395,1.835,parrot,brbcq,0,1.4094209,0,160.9445698,1,163.0406524,160.9388747,Neutral,obj302,NA,59.95131952,NA,"bird, macaw, parakeet, toucan, cockatoo, lovebird, pecan, parrot, brbcq",Incongruent,165.7926165,NA,NA
monkey,0.98762906,en-us,NA,2,15,1.525,2.03,gorilla,sdzbp,0,0.2300685,0.4350959,165.7983873,1,167.8944001,165.7926165,Neutral,obj185,NA,59.95131952,NA,"monkey, ape, baboon, chimpanzee, orangutan, gorilla, sdzbp",Incongruent,171.4469744,NA,NA
firetruck,0.94347167,en-us,NA,2,16,2.675,3.21,firetruck,zcqnj,0,2.5611164,0,171.4527039,1,174.6329213,171.4469744,Neutral,obj156,NA,59.95131952,NA,"fire, burning building, ladder, fire engine, firetruck, zcqnj",Incongruent,178.3856421,NA,NA
shoulder,0.98762906,en-us,NA,2,17,2.235,2.43,shoulder,wzpgz,0,2.0836134,0,178.3918097,1,181.0878601,178.3856421,Neutral,obj394,NA,59.95131952,NA,"bicep, arm, upper arm, body, upper body, shoulder, wzpgz",Incongruent,185.4577743,NA,NA
dentures,0.98762906,en-us,NA,2,18,1.495,2.045,teeth,sjzrm,0,1.392436,0,185.4638843,1,187.5595473,185.4577743,Neutral,obj444,NA,59.95131952,NA,"denture, dentures, fake teeth, molar, molars, gum, gums, dental, teeth, sjzrm",Incongruent,191.6291971,NA,NA
bicycle,0.9938145,en-us,NA,2,19,1.855,2.515,bicycle,tzjqw,0,1.8681428,0,191.6353137,1,194.1312858,191.6291971,Neutral,obj043,NA,59.95131952,NA,"bike, bicycle, tzjqw",Incongruent,198.2009039,NA,NA
box,0.98124427,en-us,NA,2,20,1.06,1.265,box,svnrk,0,1.0259052,1.3451064,198.2071038,1,200.3027267,198.2009039,Neutral,obj056,NA,59.95131952,NA,"package, carton, box, svnrk",Incongruent,201.0531306,NA,NA
feather,0.98762906,en-us,NA,2,21,1.045,1.445,feather,jtcmg,0,1.0161968,0,201.0586958,1,203.1548794,201.0531306,Neutral,obj151,NA,59.95131952,NA,"quill, quill pen, feather, jtcmg",Incongruent,204.0054062,NA,NA
jumprope,0.98121,en-us,NA,2,22,1.525,2.02,jumprope,tvrrs,0,1.5275146,0,204.0110639,1,206.1739131,204.0054062,Neutral,obj223,NA,59.95131952,NA,"rope, whip, jumprope, tvrrs",Incongruent,209.6263986,NA,NA
harp,0.98003674,en-us,NA,2,23,1.215,1.39,harp,phhzz,0,1.0823137,0,209.6324733,1,211.7281878,209.6263986,Neutral,obj198,NA,59.95131952,NA,"angel, wing, harp, phhzz",Incongruent,212.6787585,NA,NA
swing,0.9791149,en-us,NA,2,24,0.965,1.35,swing,swhpx,0,0.9895976,0,212.6843781,1,214.7805357,212.6787585,Neutral,obj434,NA,59.95131952,NA,"swings, playground, swingset, swing, swhpx",Incongruent,215.5309547,NA,NA
chicken,0.98762906,en-us,NA,2,25,1.895,2.095,chicken,hmwdt,0,1.6405403,0,215.5365815,1,217.8161801,215.5309547,Neutral,obj093,NA,59.95131952,NA,"rooster, bird, turkey, hen, poultry, chicken, hmwdt",Incongruent,220.3846945,NA,NA
lock,0.9938145,en-us,NA,2,26,0.84,1.115,lock,bmhkv,0,0.829216,1.1231668,220.3905876,1,222.4864891,220.3846945,Neutral,obj252,NA,59.95131952,NA,"unlock, unlocked, locked, lock, bmhkv",Incongruent,223.2368967,NA,NA
mailbox,0.9789463,en-us,NA,2,27,1.23,1.65,mailbox,qghhv,0,1.1711659,0,223.2424386,1,225.3386984,223.2368967,Neutral,obj255,NA,59.95131952,NA,"mail, letterbox, letters, postbox, mailbox, qghhv",Incongruent,226.9897876,NA,NA
unicycle,0.98762906,en-us,NA,2,28,1.24,2.035,unicycle,wfggj,0,1.1672011,0,226.9954733,1,229.0915748,226.9897876,Neutral,obj481,NA,59.95131952,NA,"bicycle, monocycle, unicycle, wfggj",Incongruent,232.8442964,NA,NA
Mountain,0.98762906,en-us,NA,2,29,1.085,1.315,mountain,mvzsb,0,1.1122021,0,232.8502188,1,234.9460545,232.8442964,Neutral,obj272,NA,59.95131952,NA,"peak, apex, ridge, Matterhorn, mountain, mvzsb",Incongruent,236.6138737,NA,NA
Pizza,0.9826745,en-us,NA,2,30,1.385,1.545,pizza,jthsr,0,1.0535384,0,236.6196069,1,238.7156504,236.6138737,Neutral,obj326,NA,59.95131952,NA,"pizza pie, pizza slices, slices, pizza, jthsr",Incongruent,239.983133,NA,NA
tweezers,0.98762906,en-us,NA,2,31,1.635,2.485,tweezers,zwjzw,0,1.6482479,0,239.9889771,1,242.2683872,239.983133,Neutral,obj477,NA,59.95131952,NA,"tweezer, pliers, tongs, clip, clips, clamp, clamps, tweezers, zwjzw",Incongruent,247.0385744,NA,NA
present,0.98762906,en-us,NA,2,32,1.06,1.23,present,nmnnd,0,1.0499389,0,247.0445851,1,249.1403503,247.0385744,Neutral,obj337,NA,59.95131952,NA,"gift, package, box, present, nmnnd",Incongruent,251.8923169,NA,NA
snake,0.98762906,en-us,NA,2,33,0.78,1.18,snake,rdsgp,0,0.7721635,0,251.8981163,1,253.9940958,251.8923169,Neutral,obj409,NA,59.95131952,NA,"serpent, cobra, python, viper, rattlesnake, copperhead, boa constrictor, snake, rdsgp",Incongruent,254.744511,NA,NA
stoplight,0.98667,en-us,NA,2,34,1.085,1.54,stoplight,hfnqg,0,0.9558011,0,254.7502108,1,256.8472727,254.744511,Neutral,obj466,NA,59.95131952,NA,"light, traffic light, signal, traffic signal, traffic signals, stoplight, hfnqg",Incongruent,258.2138521,NA,NA
net,0.98762906,en-us,NA,2,35,0.885,1.15,net,sfmzq,0,0.8754394,1.3732003,258.2197728,1,260.3156432,258.2138521,Neutral,obj282,NA,59.95131952,NA,"mesh, web, lattice, hoop, fishing net, net, sfmzq",Incongruent,261.0660522,NA,NA
pirate,0.97872764,en-us,NA,2,36,1.12,1.525,pirate,bjgmr,0,1.0780817,0,261.0716551,1,263.1678301,261.0660522,Neutral,obj323,NA,59.95131952,NA,"sailor, raider, buccaneer, pirate ship, man, male, pirate, bjgmr",Incongruent,264.218484,NA,NA
desk,0.98762906,en-us,NA,2,37,1.56,1.725,desk,nfvzh,0,1.532089,0,264.224423,1,266.3869652,264.218484,Neutral,obj124,NA,59.95131952,NA,"cabinet, table, desk, nfvzh",Incongruent,268.3383279,NA,NA
motorcycle,0.9848098,en-us,NA,2,38,1.25,2.035,motorcycle,npgdd,0,1.1668313,0,268.3440918,1,270.4401007,268.3383279,Neutral,obj271,NA,59.95131952,NA,"bike, bicycle, motorbike, moped, scooter, minibike, semi, motorcycle, npgdd",Incongruent,273.6924687,NA,NA
leaf,0.9731555,en-us,NA,2,39,1.055,1.275,leaf,szfjs,0,0.2380523,0.6167349,273.6983257,1,275.7942277,273.6924687,Neutral,obj236,NA,59.95131952,NA,"petal, leaf, szfjs",Incongruent,276.5446546,NA,NA
cup,0.98762906,en-us,NA,2,40,1.78,2.03,cup,jtdxc,0,1.7988531,0,276.550126,1,278.9632992,276.5446546,Neutral,obj119,NA,59.95131952,NA,"mug, drink, cup, jtdxc",Incongruent,281.615227,NA,NA
Genie,0.9938145,en-us,NA,2,41,1.245,1.735,genie,sdbvt,0,1.2293289,0,281.6211952,1,283.7170046,281.615227,Neutral,obj176,NA,59.95131952,NA,"wizard, spirit, genie, sdbvt",Incongruent,286.1687344,NA,NA
wing,0.9831718,en-us,NA,2,42,1.815,2.27,wing,zccbc,0,1.7993447,0,286.1745107,1,288.6041042,286.1687344,Neutral,obj512,NA,59.95131952,NA,"bird, feather, wing, zccbc",Incongruent,292.2734458,NA,NA
